TrxNo,PlazaNo,LaneNo,EntryPlaza,JobNo,TransactionDateTime,Trx,AVC,PaymentMode,FareAmount(RM),MfgNoTagID,PaidAmount(RM),Balance,AccountType,VehicleNo,Code,Remark,PenaltyCode
82,203,K01,202,7,1/10/2025 0:07,3,3,TNG,11.3,4088317327,11.30,294.40,,,,,
36,203,M01,,3,1/10/2025 0:08,1,,ENTRY,,1271750671,,,,,,,
37,203,K04,204,3,1/10/2025 0:08,1,1,TNG,7.2,1907412776,7.20,50.38,,,,,
38,203,M01,,3,1/10/2025 0:08,1,,ENTRY,,1158435279,,,,,,,
38,203,M01,,3,1/10/2025 0:08,,,,0,1158435279,0.00,0.00, , ,3,"[FORCE RESET] Key Pressed, TC: 1",
41,203,M04,,3,1/10/2025 0:09,1,,ENTRY,,4214289327,,,,,,,
38,203,K04,204,3,1/10/2025 0:09,1,1,TNG,7.2,1888675983,7.20,16.87,,,,,
42,203,M04,,3,1/10/2025 0:10,1,,ENTRY,,1013855695,,,,,,,
53,203,M06,,3,1/10/2025 0:10,1,,ENTRY,,2228135855,,,,,,,
39,203,K04,202,3,1/10/2025 0:11,1,1,TNG,5.6,1100534799,5.60,14.01,,,,,
83,203,K01,202,7,1/10/2025 0:11,3,3,TNG,11.3,1862045199,11.30,16.10,,,,,
84,203,K01,202,7,1/10/2025 0:12,3,3,TNG,11.3,1268774255,11.30,17.10,,,,,
39,203,M01,,3,1/10/2025 0:12,1,,ENTRY,,1268808495,,,,,,,
40,203,M01,,3,1/10/2025 0:13,1,,ENTRY,,2227631663,,,,,,,
41,203,M01,,3,1/10/2025 0:13,1,,ENTRY,,3182857103,,,,,,,
42,203,M01,,3,1/10/2025 0:13,1,,ENTRY,,4151881199,,,,,,,
30,203,M07,,3,1/10/2025 0:13,1,,ENTRY,,E280110520007044E8C10ACC,,,3,VAA6650,,,
31,203,M07,,3,1/10/2025 0:14,1,,ENTRY,,E2806F122000E7024120B274,,,3,JXD775,,,
86,203,K01,204,7,1/10/2025 0:14,1,1,TNG,7.2,1053088815,7.20,47.71,,,,,
32,203,M07,,3,1/10/2025 0:14,1,,ENTRY,,E280110520007A9AC7040A55,,,3,NDF7617,,,
87,203,K01,204,7,1/10/2025 0:15,1,1,TNG,7.2,1272138511,7.20,1.90,,,,,
54,203,M06,,3,1/10/2025 0:15,1,,ENTRY,,3292871557,,,,,,,
88,203,K01,201,7,1/10/2025 0:15,3,3,TNG,18.4,2008436495,18.40,150.24,,,,,
22,203,K06,204,3,1/10/2025 0:18,1,1,RFID,7.2,E2806F122000E8024121F073,7.20,30.05,3,JWJ2080,,,
43,203,M01,,3,1/10/2025 0:20,1,,ENTRY,,1636683599,,,,,,,
55,203,M06,,3,1/10/2025 0:20,1,,ENTRY,,1768124751,,,,,,,
26,203,K05,204,3,1/10/2025 0:20,1,1,TNG,7.2,4098383119,7.20,87.23,,,,,
42,203,K04,201,3,1/10/2025 0:21,1,1,ABTC,9.2,1859646959,9.20,63.65,,,,,
44,203,M04,,3,1/10/2025 0:21,1,,ENTRY,,3404224741,,,,,,,
44,203,M01,,3,1/10/2025 0:21,1,,ENTRY,,1100534799,,,,,,,
23,203,K06,204,3,1/10/2025 0:22,1,1,RFID,7.2,E280110520007A52E9DB0ACC,7.20,72.80,3,JLT7937,,,
89,203,K01,204,7,1/10/2025 0:22,3,3,TNG,14.4,1656463503,14.40,101.79,,,,,
56,203,M06,,3,1/10/2025 0:23,1,,ENTRY,,1275496495,,,,,,,
45,203,M01,,3,1/10/2025 0:24,1,,ENTRY,,1707581007,,,,,,,
90,203,K01,204,7,1/10/2025 0:24,1,1,TNG,7.2,2214140431,7.20,47.83,,,,,
43,203,K04,201,3,1/10/2025 0:25,1,1,TNG,9.2,1390903439,9.20,83.20,,,,,
33,203,M07,,3,1/10/2025 0:25,1,,ENTRY,,E28011052000754DA7CE0AD1,,,3,JRW6193,,,
57,203,M06,,3,1/10/2025 0:26,1,,ENTRY,,1044670063,,,,,,,
91,203,K01,204,7,1/10/2025 0:27,1,1,TNG,7.2,1052886799,7.20,251.34,,,,,
91,203,K01,,7,1/10/2025 0:27,,,,0,1052886799,0.00,0.00, , ,53,TngAutorefillEnable,
45,203,M04,,3,1/10/2025 0:29,1,,ENTRY,,1640239919,,,,,,,
24,203,K06,204,3,1/10/2025 0:29,1,1,RFID,7.2,E2801105200074C5B8CF0AD1,7.20,92.30,3,WQL2975,,,
25,203,K06,201,3,1/10/2025 0:30,1,1,RFID,9.2,E2806F122000D8024223FB07,9.20,14.47,3,JYE2320,,,
92,203,K01,,7,1/10/2025 0:31,,,,0,1300680143,0.00,0.00, , ,43,,
46,203,M01,,3,1/10/2025 0:32,1,,ENTRY,,1303101167,,,,,,,
46,203,M01,,3,1/10/2025 0:32,,,,0,1303101167,0.00,0.00, , ,54,TngAutorefillDisable,
94,203,K01,204,7,1/10/2025 0:32,1,1,TNG,7.2,3388429349,7.20,14.79,,,,,
47,203,M01,,3,1/10/2025 0:32,1,,ENTRY,,3111841007,,,,,,,
95,203,K01,204,7,1/10/2025 0:32,1,1,TNG,7.2,968800143,7.20,6.09,,,,,
46,203,M04,,3,1/10/2025 0:33,1,,ENTRY,,1814768623,,,,,,,
58,203,M06,,3,1/10/2025 0:33,1,,ENTRY,,4202629871,,,,,,,
34,203,M07,,3,1/10/2025 0:34,1,,ENTRY,,E28011052000748AC9E50A55,,,3,WUU9535,,,
47,203,M04,,3,1/10/2025 0:37,1,,ENTRY,,2162457711,,,,,,,
97,203,K01,202,7,1/10/2025 0:37,1,1,TNG,5.6,1897960047,5.60,6.36,,,,,
48,203,M01,,3,1/10/2025 0:38,1,,ENTRY,,1329882767,,,,,,,
59,203,M06,,3,1/10/2025 0:38,1,,ENTRY,,2261168111,,,,,,,
44,203,K04,204,3,1/10/2025 0:41,1,1,TNG,7.2,1307665455,7.20,0.13,,,,,
98,203,K01,0,7,1/10/2025 0:41,1,1,TNG,9.2,3366190149,9.20,22.13,,,,,
49,203,M01,,3,1/10/2025 0:43,1,,ENTRY,,2269843663,,,,,,,
35,203,M07,,3,1/10/2025 0:43,1,,ENTRY,,E2801105200072DEF9AF0ACE,,,3,JGK8777,,,
50,203,M01,,3,1/10/2025 0:45,1,,ENTRY,,3994751567,,,,,,,
51,203,M01,,3,1/10/2025 0:47,1,,ENTRY,,1345376719,,,,,,,
99,203,K01,204,7,1/10/2025 0:47,1,1,TNG,7.2,3358569941,7.20,11.74,,,,,
45,203,K04,204,3,1/10/2025 0:50,1,1,ABTC,7.2,1350179791,7.20,209.82,,,,,
27,203,K05,204,3,1/10/2025 0:50,1,1,TNG,7.2,3250449807,7.20,46.26,,,,,
46,203,K04,204,3,1/10/2025 0:50,1,1,TNG,7.2,1719629807,7.20,31.94,,,,,
60,203,M06,,3,1/10/2025 0:50,1,,ENTRY,,3375910645,,,,,,,
100,203,K01,202,7,1/10/2025 0:51,3,3,TNG,11.3,4145351375,11.30,286.17,,,,,
47,203,K04,204,3,1/10/2025 0:51,1,1,TNG,7.2,1302100047,7.20,1.92,,,,,
28,203,K05,202,3,1/10/2025 0:51,1,1,TNG,5.6,1267692079,5.60,37.10,,,,,
101,203,K01,,7,1/10/2025 0:52,,,,0,3240431605,0.00,0.00, , ,43,,
61,203,M06,,3,1/10/2025 0:52,1,,ENTRY,,3903817679,,,,,,,
52,203,M01,,3,1/10/2025 0:52,1,,ENTRY,,1272761071,,,,,,,
102,203,K01,204,7,1/10/2025 0:52,1,1,TNG,7.2,3240431605,7.20,2.80,,,,,
48,203,K04,204,3,1/10/2025 0:52,1,1,TNG,7.2,3983538511,7.20,12.06,,,,,
103,203,K01,204,7,1/10/2025 0:52,1,1,TNG,7.2,1054224335,7.20,26.65,,,,,
48,203,M04,,3,1/10/2025 0:54,1,,ENTRY,,3388429349,,,,,,,
49,203,K04,204,3,1/10/2025 0:54,1,1,TNG,7.2,3327004389,7.20,24.98,,,,,
63,203,M06,,3,1/10/2025 0:54,1,,ENTRY,,1129236079,,,,,,,
29,203,K05,204,3,1/10/2025 0:54,1,1,ABTC,7.2,1029341199,7.20,11660.76,,,,,
108,203,K01,204,7,1/10/2025 0:55,1,1,TNG,7.2,3235007525,7.20,5.21,,,,,
109,203,K01,204,7,1/10/2025 0:55,2,2,ABTC,10.8,1296410863,10.80,20.83,,,,,
26,203,K06,204,3,1/10/2025 0:55,1,1,EXMRF,0,E2806F12200063024150DD32,0.00,0.00,4,VMS4676,,,
110,203,K01,201,7,1/10/2025 0:59,3,3,TNG,18.4,1073765807,18.40,46.99,,,,,
49,203,M04,,3,1/10/2025 1:00,1,,ENTRY,,2233275887,,,,,,,
53,203,M01,,3,1/10/2025 1:03,1,,ENTRY,,1030582831,,,,,,,
30,203,K05,204,3,1/10/2025 1:03,1,1,ABTC,7.2,1338049231,7.20,173.30,,,,,
50,203,K04,204,3,1/10/2025 1:03,1,1,TNG,7.2,2251421231,7.20,8.22,,,,,
64,203,M06,,3,1/10/2025 1:03,1,,ENTRY,,2212538511,,,,,,,
51,203,K04,204,3,1/10/2025 1:05,1,1,ABTC,7.2,1047173839,7.20,72.80,,,,,
54,203,M01,,3,1/10/2025 1:07,1,,ENTRY,,1731101167,,,,,,,
27,203,K06,202,3,1/10/2025 1:08,1,1,RFID,5.6,E2801105200075850BBC0A5A,5.60,74.40,3,JVN6598,,,
50,203,M04,,3,1/10/2025 1:08,1,,ENTRY,,1302100047,,,,,,,
65,203,M06,,3,1/10/2025 1:08,1,,ENTRY,,3405797071,,,,,,,
31,203,K05,204,3,1/10/2025 1:09,1,1,TNG,7.2,2206142479,7.20,37.99,,,,,
55,203,M01,,3,1/10/2025 1:12,1,,ENTRY,,4037336975,,,,,,,
56,203,M01,,3,1/10/2025 1:12,1,,ENTRY,,3287147567,,,,,,,
28,203,K06,201,3,1/10/2025 1:13,1,1,RFID,9.2,E2806F122000A80241308A92,9.20,3684.37,3,JRH3089,,,
52,203,K04,204,3,1/10/2025 1:15,1,1,TNG,7.2,4231961999,7.20,6.91,,,,,
51,203,M04,,3,1/10/2025 1:16,1,,ENTRY,,3326954437,,,,,,,
66,203,M06,,3,1/10/2025 1:16,1,,ENTRY,,1149678031,,,,,,,
29,203,K06,204,3,1/10/2025 1:17,1,1,RFID,7.2,E2806F1220000602412200B0,7.20,72.80,3,JLN284,,,
36,203,M07,,3,1/10/2025 1:17,1,,ENTRY,,E2806F122000B702423D755D,,,3,VPN6319,,,
52,203,M04,,3,1/10/2025 1:17,1,,ENTRY,,2237738223,,,,,,,
57,203,M01,,3,1/10/2025 1:17,1,,ENTRY,,4143819279,,,,,,,
30,203,K06,   ,3,1/10/2025 1:19,1,1,SRID,0,E20034120131FB0006C7A8B2,0.00,0.00,0,,,,05 - No entry info
30,203,K06,,3,1/10/2025 1:19,,,,0,E200341201,0.00,0.00, , ,22,NoEntryInfo,
67,203,M06,,3,1/10/2025 1:19,1,,ENTRY,,4246175151,,,,,,,
58,203,M01,,3,1/10/2025 1:19,1,,ENTRY,,1723923279,,,,,,,
68,203,M06,,3,1/10/2025 1:19,1,,ENTRY,,1177046735,,,,,,,
32,203,K05,204,3,1/10/2025 1:20,1,1,TNG,7.2,4279871087,7.20,5.83,,,,,
31,203,K06,   ,3,1/10/2025 1:20,1,1,SRID,0,E20034120134FB0006C7A971,0.00,0.00,0,,,,05 - No entry info
31,203,K06,,3,1/10/2025 1:20,,,,0,E200341201,0.00,0.00, , ,22,NoEntryInfo,
33,203,K05,204,3,1/10/2025 1:23,1,1,TNG,7.2,3367401301,7.20,2.12,,,,,
69,203,M06,,3,1/10/2025 1:26,1,,ENTRY,,1311492271,,,,,,,
70,203,M06,,3,1/10/2025 1:26,1,,ENTRY,,1834478479,,,,,,,
53,203,M04,,3,1/10/2025 1:32,1,,ENTRY,,1331807823,,,,,,,
59,203,M01,,3,1/10/2025 1:39,1,,ENTRY,,2805120175,,,,,,,
60,203,M01,,3,1/10/2025 1:39,1,,ENTRY,,3182152175,,,,,,,
61,203,M01,,3,1/10/2025 1:40,1,,ENTRY,,1882535311,,,,,,,
111,203,K01,202,7,1/10/2025 1:40,3,3,TNG,11.3,1034243887,11.30,5.92,,,,,
62,203,M01,,3,1/10/2025 1:44,1,,ENTRY,,1024420783,,,,,,,
37,203,M07,,3,1/10/2025 1:44,1,,ENTRY,,E2806F122000590241504C71,,,3,JJX7559,,,
63,203,M01,,3,1/10/2025 1:44,1,,ENTRY,,1378140207,,,,,,,
34,203,K05,201,3,1/10/2025 1:53,1,1,TNG,9.2,1636836168,9.20,13.63,,,,,
113,203,K01,204,7,1/10/2025 1:53,1,1,TNG,7.2,2122347352,7.20,3.68,,,,,
53,203,K04,204,3,1/10/2025 1:53,1,1,TNG,7.2,2212538511,7.20,18.86,,,,,
64,203,M01,,3,1/10/2025 1:54,1,,ENTRY,,1318008463,,,,,,,
114,203,K01,204,7,1/10/2025 1:55,1,1,TNG,7.2,3356069263,7.20,49.37,,,,,
32,203,K06,201,3,1/10/2025 1:56,1,1,RFID,9.2,E280110520007A9DC7060A55,9.20,70.80,3,JUB2946,,,
115,203,K01,202,7,1/10/2025 2:00,3,3,TNG,11.3,1068335759,11.30,172.99,,,,,
65,203,M01,,3,1/10/2025 2:02,1,,ENTRY,,1761629583,,,,,,,
54,203,K04,201,3,1/10/2025 2:04,1,1,TNG,9.2,2212380303,9.20,17.00,,,,,
116,203,K01,201,7,1/10/2025 2:06,3,3,TNG,18.4,1005712207,18.40,926.11,,,,,
54,203,M04,,3,1/10/2025 2:07,1,,ENTRY,,1994582040,,,,,,,
55,203,M04,,3,1/10/2025 2:07,1,,ENTRY,,1163559919,,,,,,,
55,203,K04,201,3,1/10/2025 2:09,1,1,TNG,9.2,1262673263,9.20,39.06,,,,,
71,203,M06,,3,1/10/2025 2:11,1,,ENTRY,,1158718895,,,,,,,
66,203,M01,,3,1/10/2025 2:13,1,,ENTRY,,1717099119,,,,,,,
72,203,M06,,3,1/10/2025 2:15,1,,ENTRY,,4286955119,,,,,,,
35,203,K05,202,3,1/10/2025 2:17,1,1,TNG,5.6,2253969455,5.60,27.00,,,,,
56,203,K04,204,3,1/10/2025 2:18,1,1,TNG,7.2,2233912975,7.20,30.36,,,,,
73,203,M06,,3,1/10/2025 2:20,1,,ENTRY,,3279603733,,,,,,,
117,203,K01,   ,7,1/10/2025 2:22,1,1,SVC,0,3083490799,0.00,0.00,,,,,
118,203,K01,201,7,1/10/2025 2:22,1,1,TNG,9.2,1284024399,9.20,13.97,,,,,
36,203,K05,204,3,1/10/2025 2:22,1,1,ABTC,7.2,1815371023,7.20,75.80,,,,,
67,203,M01,,3,1/10/2025 2:27,1,,ENTRY,,2003216367,,,,,,,
33,203,K06,204,3,1/10/2025 2:27,1,1,RFID,7.2,E28011052000778C0BF40A5A,7.20,14.46,3,JVQ3082,,,
38,203,M07,,3,1/10/2025 2:30,1,,ENTRY,,E20034120134FB0006C7A971,,,0,,,,
120,203,K01,202,7,1/10/2025 2:31,1,1,TNG,5.6,4061213583,5.60,9.39,,,,,
39,203,M07,,3,1/10/2025 2:31,1,,ENTRY,,E20034120131FB0006C7A8B2,,,0,,,,
57,203,K04,201,3,1/10/2025 2:37,1,1,TNG,9.2,1050414543,9.20,0.07,,,,,
68,203,M01,,3,1/10/2025 2:38,1,,ENTRY,,1037389519,,,,,,,
122,203,K01,204,7,1/10/2025 2:38,1,1,TNG,7.2,1046411983,7.20,6.93,,,,,
58,203,K04,201,3,1/10/2025 2:41,1,1,TNG,9.2,2120653912,9.20,15.04,,,,,
123,203,K01,204,7,1/10/2025 2:48,3,3,TNG,14.4,1775060879,14.40,16.40,,,,,
59,203,K04,204,3,1/10/2025 2:48,1,1,TNG,7.2,3342317029,7.20,19.17,,,,,
69,203,M01,,3,1/10/2025 2:52,1,,ENTRY,,1051193743,,,,,,,
69,203,M01,,3,1/10/2025 2:52,,,,0,1051193743,0.00,0.00, , ,54,TngAutorefillDisable,
70,203,M01,,3,1/10/2025 2:52,1,,ENTRY,,1042103567,,,,,,,
71,203,M01,,3,1/10/2025 2:53,1,,ENTRY,,1042398607,,,,,,,
72,203,M01,,3,1/10/2025 2:53,1,,ENTRY,,1058042159,,,,,,,
124,203,K01,204,7,1/10/2025 2:53,3,3,TNG,14.4,4067947503,14.40,159.02,,,,,
73,203,M01,,3,1/10/2025 2:53,1,,ENTRY,,1058914991,,,,,,,
73,203,M01,,3,1/10/2025 2:53,,,,0,1058914991,0.00,0.00, , ,54,TngAutorefillDisable,
74,203,M01,,3,1/10/2025 2:54,1,,ENTRY,,1042417903,,,,,,,
126,203,K01,201,7,1/10/2025 2:57,3,3,TNG,18.4,1274401071,18.40,50.71,,,,,
127,203,K01,201,7,1/10/2025 2:58,3,3,TNG,18.4,1244115951,18.40,186.01,,,,,
127,203,K01,,7,1/10/2025 2:58,,,,0,1244115951,0.00,0.00, , ,53,TngAutorefillEnable,
128,203,K01,202,7,1/10/2025 2:59,1,1,TNG,5.6,1049348591,5.60,54.91,,,,,
129,203,K01,,7,1/10/2025 2:59,,,,0,2239722415,0.00,0.00, , ,7,  to ,
131,203,K01,202,7,1/10/2025 2:59,3,3,TNG,11.3,2239722415,11.30,8.89,,,,,
132,203,K01,,7,1/10/2025 2:59,,,,0,1244270479,0.00,0.00, , ,7,  to ,
133,203,K01,,7,1/10/2025 2:59,,,,0,1244270479,0.00,0.00, , ,7,  to ,
134,203,K01,0,7,1/10/2025 3:00,3,3,TNG,18.4,1244270479,18.40,49.78,,,,,
1,203,K01,,8,1/10/2025 3:00,,,,0,          ,0.00,0.00, , ,20,Standby End,
1,203,K01,204,8,1/10/2025 3:00,3,3,TNG,14.4,1073805071,14.40,98.22,,,,,
74,203,M06,,3,1/10/2025 3:02,1,,ENTRY,,2232746927,,,,,,,
60,203,K04,202,3,1/10/2025 3:04,1,1,TNG,5.6,2224961775,5.60,4.30,,,,,
75,203,M06,,3,1/10/2025 3:08,1,,ENTRY,,1815902383,,,,,,,
2,203,K01,204,8,1/10/2025 3:11,1,1,TNG,7.2,1894216143,7.20,6.99,,,,,
61,203,K04,202,3,1/10/2025 3:13,1,1,TNG,5.6,2251370831,5.60,0.17,,,,,
37,203,K05,204,3,1/10/2025 3:14,1,1,TNG,7.2,1341793327,7.20,42.79,,,,,
34,203,K06,204,3,1/10/2025 3:15,1,1,RFID,7.2,E2801105200072D2C8940A55,7.20,72.06,3,VCB8882,,,
35,203,K06,   ,3,1/10/2025 3:15,1,1,SRID,0,E20034120131FB0006C7A8B2,0.00,0.00,0,,,,05 - No entry info
35,203,K06,,3,1/10/2025 3:15,,,,0,E200341201,0.00,0.00, , ,22,NoEntryInfo,
40,203,M07,,3,1/10/2025 3:19,1,,ENTRY,,E20034120131FB0006C7A8B2,,,0,,,,
62,203,K04,204,3,1/10/2025 3:20,1,1,TNG,7.2,1004835887,7.20,37.74,,,,,
41,203,M07,,3,1/10/2025 3:23,1,,ENTRY,,E280110520007A92F92A0ACE,,,3,JXM4675,,,
75,203,M01,,3,1/10/2025 3:24,1,,ENTRY,,2006115407,,,,,,,
56,203,M04,   ,3,1/10/2025 3:27,1,1,SVC,0,3083490799,0.00,0.00,,,,,
76,203,M01,,3,1/10/2025 3:29,1,,ENTRY,,1641558735,,,,,,,
77,203,M01,,3,1/10/2025 3:30,1,,ENTRY,,1284986191,,,,,,,
38,203,K05,204,3,1/10/2025 3:33,1,1,TNG,7.2,2230527919,7.20,10.30,,,,,
3,203,K01,202,8,1/10/2025 3:41,3,3,TNG,11.3,1654491727,11.30,517.54,,,,,
4,203,K01,202,8,1/10/2025 3:42,3,3,TNG,11.3,4087224847,11.30,205.13,,,,,
76,203,M06,,3,1/10/2025 3:44,1,,ENTRY,,1051440143,,,,,,,
57,203,M04,,3,1/10/2025 3:47,1,,ENTRY,,1032205167,,,,,,,
77,203,M06,,3,1/10/2025 3:50,1,,ENTRY,,2239225583,,,,,,,
5,203,K01,201,8,1/10/2025 3:54,3,3,TNG,18.4,1051602159,18.40,1247.60,,,,,
78,203,M06,,3,1/10/2025 3:55,1,,ENTRY,,1893780175,,,,,,,
6,203,K01,204,8,1/10/2025 3:56,1,1,ABTC,7.2,1719624399,7.20,82.94,,,,,
79,203,M06,,3,1/10/2025 3:57,1,,ENTRY,,1783285615,,,,,,,
1,203,K01,,9,1/10/2025 4:00,,,,0,          ,0.00,0.00, , ,20,Standby End,
58,203,M04,,3,1/10/2025 4:02,1,,ENTRY,,3308749765,,,,,,,
59,203,M04,,3,1/10/2025 4:04,1,,ENTRY,,1049839087,,,,,,,
63,203,K04,202,3,1/10/2025 4:08,1,1,TNG,5.6,2184343119,5.60,17.44,,,,,
80,203,M06,,3,1/10/2025 4:10,1,,ENTRY,,2008560463,,,,,,,
78,203,M01,,3,1/10/2025 4:13,1,,ENTRY,,1656449871,,,,,,,
79,203,M01,,3,1/10/2025 4:15,1,,ENTRY,,1065417263,,,,,,,
36,203,K06,204,3,1/10/2025 4:16,1,1,RFID,7.2,E280110520007A92F92A0ACE,7.20,128.10,3,JXM4675,,,
80,203,M01,,3,1/10/2025 4:16,1,,ENTRY,,1028168879,,,,,,,
81,203,M01,,3,1/10/2025 4:16,1,,ENTRY,,1058009999,,,,,,,
82,203,M01,,3,1/10/2025 4:16,1,,ENTRY,,1337396847,,,,,,,
83,203,M01,,3,1/10/2025 4:17,1,,ENTRY,,1042434447,,,,,,,
82,203,M06,,3,1/10/2025 4:22,1,,ENTRY,,1763418799,,,,,,,
83,203,M06,,3,1/10/2025 4:23,1,,ENTRY,,3363596037,,,,,,,
84,203,M06,,3,1/10/2025 4:24,1,,ENTRY,,2251360015,,,,,,,
60,203,M04,,3,1/10/2025 4:24,1,,ENTRY,,1814577711,,,,,,,
1,203,K01,201,9,1/10/2025 4:25,3,3,TNG,18.4,1242970991,18.40,84.99,,,,,
1,203,K01,,9,1/10/2025 4:25,,,,0,1242970991,0.00,0.00, , ,53,TngAutorefillEnable,
85,203,M06,,3,1/10/2025 4:28,1,,ENTRY,,1008953103,,,,,,,
42,203,M07,,3,1/10/2025 4:28,1,,ENTRY,,E280110520007546E78809ED,,,3,BQB8995,,,
86,203,M06,,3,1/10/2025 4:31,1,,ENTRY,,1216477039,,,,,,,
39,203,K05,201,3,1/10/2025 4:45,1,1,TNG,9.2,1835303951,9.20,48.96,,,,,
87,203,M06,,3,1/10/2025 4:48,1,,ENTRY,,1086765743,,,,,,,
2,203,K01,,9,1/10/2025 4:49,,,,0,1214610287,0.00,0.00, , ,7,  to ,
3,203,K01,,9,1/10/2025 4:49,,,,0,1214610287,0.00,0.00, , ,7,  to ,
5,203,K01,201,9,1/10/2025 4:49,3,3,TNG,18.4,1214610287,18.40,614.11,,,,,
84,203,M01,,3,1/10/2025 4:53,1,,ENTRY,,1660941551,,,,,,,
6,203,K01,202,9,1/10/2025 4:53,3,3,TNG,11.3,1617258383,11.30,18.51,,,,,
7,203,K01,201,9,1/10/2025 4:55,3,3,TNG,18.4,1246892495,18.40,168.11,,,,,
7,203,K01,,9,1/10/2025 4:55,,,,0,1246892495,0.00,0.00, , ,53,TngAutorefillEnable,
37,203,K06,   ,3,1/10/2025 4:56,1,1,SRID,0,E20034120131FB0006C7A8B2,0.00,0.00,0,,,,05 - No entry info
37,203,K06,,3,1/10/2025 4:56,,,,0,E200341201,0.00,0.00, , ,22,NoEntryInfo,
8,203,K01,201,9,1/10/2025 4:59,1,1,TNG,9.2,1733316303,9.20,32.56,,,,,
85,203,M01,,3,1/10/2025 4:59,1,,ENTRY,,3941089455,,,,,,,
64,203,K04,201,3,1/10/2025 5:00,1,1,TNG,9.2,4216596431,9.20,18.14,,,,,
9,203,K01,204,9,1/10/2025 5:03,2,2,TNG,10.8,1119999471,10.80,96.40,,,,,
88,203,M06,,3,1/10/2025 5:04,1,,ENTRY,,1828550479,,,,,,,
43,203,M07,,3,1/10/2025 5:05,1,,ENTRY,,E280110520007B15CD8C0A55,,,3,VAG7886,,,
40,203,K05,203,3,1/10/2025 5:06,1,1,ABTC,9.2,1785309391,9.20,76.09,,,,,
44,203,M07,,3,1/10/2025 5:08,1,,ENTRY,,E20034120131FB0006C7A8B2,,,0,,,,
89,203,M06,,3,1/10/2025 5:09,1,,ENTRY,,1150752847,,,,,,,
10,203,K01,204,9,1/10/2025 5:09,1,1,TNG,7.2,1874596431,7.20,11.28,,,,,
11,203,K01,204,9,1/10/2025 5:11,1,1,TNG,7.2,2187845295,7.20,2.53,,,,,
86,203,M01,,3,1/10/2025 5:17,1,,ENTRY,,2235890159,,,,,,,
61,203,M04,,3,1/10/2025 5:17,1,,ENTRY,,3287049301,,,,,,,
90,203,M06,,3,1/10/2025 5:18,1,,ENTRY,,2263291343,,,,,,,
91,203,M06,,3,1/10/2025 5:18,1,,ENTRY,,1305511215,,,,,,,
