,,Plaza ID :,,203 - CAHAYA BARU,,,,,Transaction Inquiry,,,,06/10/2025 14:00:35,,,,
86,203,K01,204,7,01/10/2025 00:14:44,1,1,TNG,7.20,,1053088815,,7.20,,47.71,,
32,203,M07,,3,01/10/2025 00:14:50,1,,ENTRY,,3,E280110520007A9AC7040A55,NDF7617,,,,,
87,203,K01,204,7,01/10/2025 00:15:07,1,1,TNG,7.20,,1272138511,,7.20,,1.90,,
54,203,M06,,3,01/10/2025 00:15:33,1,,ENTRY,,,3292871557,,,,,,
88,203,K01,201,7,01/10/2025 00:15:49,3,3,TNG,18.40,,2008436495,,18.40,,150.24,,
22,203,K06,204,3,01/10/2025 00:18:55,1,1,RFID,7.20,3,E2806F122000E8024121F073,JWJ2080,7.20,,30.05,,
43,203,M01,,3,01/10/2025 00:20:18,1,,ENTRY,,,1636683599,,,,,,
55,203,M06,,3,01/10/2025 00:20:37,1,,ENTRY,,,1768124751,,,,,,
26,203,K05,204,3,01/10/2025 00:20:42,1,1,TNG,7.20,,4098383119,,7.20,,87.23,,
42,203,K04,201,3,01/10/2025 00:21:00,1,1,ABTC,9.20,,1859646959,,9.20,,63.65,,
44,203,M04,,3,01/10/2025 00:21:36,1,,ENTRY,,,3404224741,,,,,,
44,203,M01,,3,01/10/2025 00:21:39,1,,ENTRY,,,1100534799,,,,,,
23,203,K06,204,3,01/10/2025 00:22:17,1,1,RFID,7.20,3,E280110520007A52E9DB0ACC,JLT7937,7.20,,72.80,,
89,203,K01,204,7,01/10/2025 00:22:26,3,3,TNG,14.40,,1656463503,,14.40,,101.79,,
56,203,M06,,3,01/10/2025 00:23:19,1,,ENTRY,,,1275496495,,,,,,
45,203,M01,,3,01/10/2025 00:24:51,1,,ENTRY,,,1707581007,,,,,,
90,203,K01,204,7,01/10/2025 00:24:57,1,1,TNG,7.20,,2214140431,,7.20,,47.83,,
43,203,K04,201,3,01/10/2025 00:25:19,1,1,TNG,9.20,,1390903439,,9.20,,83.20,,
33,203,M07,,3,01/10/2025 00:25:40,1,,ENTRY,,3,E28011052000754DA7CE0AD1,JRW6193,,,,,
57,203,M06,,3,01/10/2025 00:26:09,1,,ENTRY,,,1044670063,,,,,,
91,203,K01,204,7,01/10/2025 00:27:26,1,1,TNG,7.20,,1052886799,,7.20,,251.34,,
91,203,K01,,7,01/10/2025 00:27:27,,,,0.00, ,1052886799, ,0.00,,0.00,53,TngAutorefillEnable
45,203,M04,,3,01/10/2025 00:29:13,1,,ENTRY,,,1640239919,,,,,,
24,203,K06,204,3,01/10/2025 00:29:41,1,1,RFID,7.20,3,E2801105200074C5B8CF0AD1,WQL2975,7.20,,92.30,,
25,203,K06,201,3,01/10/2025 00:30:27,1,1,RFID,9.20,3,E2806F122000D8024223FB07,JYE2320,9.20,,14.47,,
92,203,K01,,7,01/10/2025 00:31:50,,,,0.00, ,1300680143, ,0.00,,0.00,43,
46,203,M01,,3,01/10/2025 00:32:10,1,,ENTRY,,,1303101167,,,,,,
46,203,M01,,3,01/10/2025 00:32:11,,,,0.00, ,1303101167, ,0.00,,0.00,54,TngAutorefillDisable
94,203,K01,204,7,01/10/2025 00:32:18,1,1,TNG,7.20,,3388429349,,7.20,,14.79,,
47,203,M01,,3,01/10/2025 00:32:27,1,,ENTRY,,,3111841007,,,,,,
95,203,K01,204,7,01/10/2025 00:32:31,1,1,TNG,7.20,,0968800143,,7.20,,6.09,,
46,203,M04,,3,01/10/2025 00:33:48,1,,ENTRY,,,1814768623,,,,,,
58,203,M06,,3,01/10/2025 00:33:50,1,,ENTRY,,,4202629871,,,,,,
34,203,M07,,3,01/10/2025 00:34:09,1,,ENTRY,,3,E28011052000748AC9E50A55,WUU9535,,,,,
47,203,M04,,3,01/10/2025 00:37:18,1,,ENTRY,,,2162457711,,,,,,
97,203,K01,202,7,01/10/2025 00:37:45,1,1,TNG,5.60,,1897960047,,5.60,,6.36,,
48,203,M01,,3,01/10/2025 00:38:26,1,,ENTRY,,,1329882767,,,,,,
59,203,M06,,3,01/10/2025 00:38:31,1,,ENTRY,,,2261168111,,,,,,
44,203,K04,204,3,01/10/2025 00:41:14,1,1,TNG,7.20,,1307665455,,7.20,,0.13,,
98,203,K01,000,7,01/10/2025 00:41:20,1,1,TNG,9.20,,3366190149,,9.20,,22.13,,
49,203,M01,,3,01/10/2025 00:43:34,1,,ENTRY,,,2269843663,,,,,,
35,203,M07,,3,01/10/2025 00:43:38,1,,ENTRY,,3,E2801105200072DEF9AF0ACE,JGK8777,,,,,
50,203,M01,,3,01/10/2025 00:45:20,1,,ENTRY,,,3994751567,,,,,,
51,203,M01,,3,01/10/2025 00:47:07,1,,ENTRY,,,1345376719,,,,,,
99,203,K01,204,7,01/10/2025 00:47:42,1,1,TNG,7.20,,3358569941,,7.20,,11.74,,
45,203,K04,204,3,01/10/2025 00:50:08,1,1,ABTC,7.20,,1350179791,,7.20,,209.82,,
27,203,K05,204,3,01/10/2025 00:50:12,1,1,TNG,7.20,,3250449807,,7.20,,46.26,,
46,203,K04,204,3,01/10/2025 00:50:20,1,1,TNG,7.20,,1719629807,,7.20,,31.94,,
60,203,M06,,3,01/10/2025 00:50:33,1,,ENTRY,,,3375910645,,,,,,
100,203,K01,202,7,01/10/2025 00:51:02,3,3,TNG,11.30,,4145351375,,11.30,,286.17,,
47,203,K04,204,3,01/10/2025 00:51:54,1,1,TNG,7.20,,1302100047,,7.20,,1.92,,
28,203,K05,202,3,01/10/2025 00:51:59,1,1,TNG,5.60,,1267692079,,5.60,,37.10,,
101,203,K01,,7,01/10/2025 00:52:04,,,,0.00, ,3240431605, ,0.00,,0.00,43,
61,203,M06,,3,01/10/2025 00:52:16,1,,ENTRY,,,3903817679,,,,,,
52,203,M01,,3,01/10/2025 00:52:18,1,,ENTRY,,,1272761071,,,,,,
102,203,K01,204,7,01/10/2025 00:52:21,1,1,TNG,7.20,,3240431605,,7.20,,2.80,,
48,203,K04,204,3,01/10/2025 00:52:21,1,1,TNG,7.20,,3983538511,,7.20,,12.06,,
103,203,K01,204,7,01/10/2025 00:52:32,1,1,TNG,7.20,,1054224335,,7.20,,26.65,,
48,203,M04,,3,01/10/2025 00:54:07,1,,ENTRY,,,3388429349,,,,,,
49,203,K04,204,3,01/10/2025 00:54:19,1,1,TNG,7.20,,3327004389,,7.20,,24.98,,
63,203,M06,,3,01/10/2025 00:54:21,1,,ENTRY,,,1129236079,,,,,,
29,203,K05,204,3,01/10/2025 00:54:58,1,1,ABTC,7.20,,1029341199,,7.20,,"11,660.76",,
108,203,K01,204,7,01/10/2025 00:55:28,1,1,TNG,7.20,,3235007525,,7.20,,5.21,,
109,203,K01,204,7,01/10/2025 00:55:41,2,2,ABTC,10.80,,1296410863,,10.80,,20.83,,
26,203,K06,204,3,01/10/2025 00:55:49,1,1,EXMRF,0.00,4,E2806F12200063024150DD32,VMS4676,0.00,,0.00,,
110,203,K01,201,7,01/10/2025 00:59:55,3,3,TNG,18.40,,1073765807,,18.40,,46.99,,
49,203,M04,,3,01/10/2025 01:00:49,1,,ENTRY,,,2233275887,,,,,,
53,203,M01,,3,01/10/2025 01:03:16,1,,ENTRY,,,1030582831,,,,,,
30,203,K05,204,3,01/10/2025 01:03:46,1,1,ABTC,7.20,,1338049231,,7.20,,173.30,,
50,203,K04,204,3,01/10/2025 01:03:48,1,1,TNG,7.20,,2251421231,,7.20,,8.22,,
64,203,M06,,3,01/10/2025 01:03:55,1,,ENTRY,,,2212538511,,,,,,
51,203,K04,204,3,01/10/2025 01:05:19,1,1,ABTC,7.20,,1047173839,,7.20,,72.80,,
54,203,M01,,3,01/10/2025 01:07:14,1,,ENTRY,,,1731101167,,,,,,
27,203,K06,202,3,01/10/2025 01:08:23,1,1,RFID,5.60,3,E2801105200075850BBC0A5A,JVN6598,5.60,,74.40,,
50,203,M04,,3,01/10/2025 01:08:34,1,,ENTRY,,,1302100047,,,,,,
65,203,M06,,3,01/10/2025 01:08:41,1,,ENTRY,,,3405797071,,,,,,
31,203,K05,204,3,01/10/2025 01:09:31,1,1,TNG,7.20,,2206142479,,7.20,,37.99,,
55,203,M01,,3,01/10/2025 01:12:30,1,,ENTRY,,,4037336975,,,,,,
56,203,M01,,3,01/10/2025 01:12:40,1,,ENTRY,,,3287147567,,,,,,
28,203,K06,201,3,01/10/2025 01:13:54,1,1,RFID,9.20,3,E2806F122000A80241308A92,JRH3089,9.20,,"3,684.37",,
52,203,K04,204,3,01/10/2025 01:15:36,1,1,TNG,7.20,,4231961999,,7.20,,6.91,,
51,203,M04,,3,01/10/2025 01:16:09,1,,ENTRY,,,3326954437,,,,,,
66,203,M06,,3,01/10/2025 01:16:50,1,,ENTRY,,,1149678031,,,,,,
29,203,K06,204,3,01/10/2025 01:17:07,1,1,RFID,7.20,3,E2806F1220000602412200B0,JLN284,7.20,,72.80,,
36,203,M07,,3,01/10/2025 01:17:11,1,,ENTRY,,3,E2806F122000B702423D755D,VPN6319,,,,,
52,203,M04,,3,01/10/2025 01:17:30,1,,ENTRY,,,2237738223,,,,,,
57,203,M01,,3,01/10/2025 01:17:58,1,,ENTRY,,,4143819279,,,,,,
30,203,K06,   ,3,01/10/2025 01:19:00,1,1,SRID,0.00,0,E20034120131FB0006C7A8B2,,0.00,05 - No entry info,0.00,,
30,203,K06,,3,01/10/2025 01:19:01,,,,0.00, ,E200341201, ,0.00,,0.00,22,NoEntryInfo
67,203,M06,,3,01/10/2025 01:19:06,1,,ENTRY,,,4246175151,,,,,,
58,203,M01,,3,01/10/2025 01:19:10,1,,ENTRY,,,1723923279,,,,,,
68,203,M06,,3,01/10/2025 01:19:55,1,,ENTRY,,,1177046735,,,,,,
32,203,K05,204,3,01/10/2025 01:20:04,1,1,TNG,7.20,,4279871087,,7.20,,5.83,,
31,203,K06,   ,3,01/10/2025 01:20:27,1,1,SRID,0.00,0,E20034120134FB0006C7A971,,0.00,05 - No entry info,0.00,,
31,203,K06,,3,01/10/2025 01:20:28,,,,0.00, ,E200341201, ,0.00,,0.00,22,NoEntryInfo
33,203,K05,204,3,01/10/2025 01:23:43,1,1,TNG,7.20,,3367401301,,7.20,,2.12,,
69,203,M06,,3,01/10/2025 01:26:38,1,,ENTRY,,,1311492271,,,,,,
70,203,M06,,3,01/10/2025 01:26:58,1,,ENTRY,,,1834478479,,,,,,
53,203,M04,,3,01/10/2025 01:32:30,1,,ENTRY,,,1331807823,,,,,,
59,203,M01,,3,01/10/2025 01:39:45,1,,ENTRY,,,2805120175,,,,,,
60,203,M01,,3,01/10/2025 01:39:56,1,,ENTRY,,,3182152175,,,,,,
61,203,M01,,3,01/10/2025 01:40:22,1,,ENTRY,,,1882535311,,,,,,
111,203,K01,202,7,01/10/2025 01:40:31,3,3,TNG,11.30,,1034243887,,11.30,,5.92,,
62,203,M01,,3,01/10/2025 01:44:17,1,,ENTRY,,,1024420783,,,,,,
37,203,M07,,3,01/10/2025 01:44:30,1,,ENTRY,,3,E2806F122000590241504C71,JJX7559,,,,,
63,203,M01,,3,01/10/2025 01:44:39,1,,ENTRY,,,1378140207,,,,,,
34,203,K05,201,3,01/10/2025 01:53:23,1,1,TNG,9.20,,1636836168,,9.20,,13.63,,
113,203,K01,204,7,01/10/2025 01:53:37,1,1,TNG,7.20,,2122347352,,7.20,,3.68,,
53,203,K04,204,3,01/10/2025 01:53:39,1,1,TNG,7.20,,2212538511,,7.20,,18.86,,
64,203,M01,,3,01/10/2025 01:54:28,1,,ENTRY,,,1318008463,,,,,,
114,203,K01,204,7,01/10/2025 01:55:36,1,1,TNG,7.20,,3356069263,,7.20,,49.37,,
32,203,K06,201,3,01/10/2025 01:56:14,1,1,RFID,9.20,3,E280110520007A9DC7060A55,JUB2946,9.20,,70.80,,
115,203,K01,202,7,01/10/2025 02:00:02,3,3,TNG,11.30,,1068335759,,11.30,,172.99,,
65,203,M01,,3,01/10/2025 02:02:19,1,,ENTRY,,,1761629583,,,,,,
54,203,K04,201,3,01/10/2025 02:04:06,1,1,TNG,9.20,,2212380303,,9.20,,17.00,,
116,203,K01,201,7,01/10/2025 02:06:17,3,3,TNG,18.40,,1005712207,,18.40,,926.11,,
54,203,M04,,3,01/10/2025 02:07:01,1,,ENTRY,,,1994582040,,,,,,
55,203,M04,,3,01/10/2025 02:07:14,1,,ENTRY,,,1163559919,,,,,,
55,203,K04,201,3,01/10/2025 02:09:40,1,1,TNG,9.20,,1262673263,,9.20,,39.06,,
71,203,M06,,3,01/10/2025 02:11:42,1,,ENTRY,,,1158718895,,,,,,
66,203,M01,,3,01/10/2025 02:13:32,1,,ENTRY,,,1717099119,,,,,,
72,203,M06,,3,01/10/2025 02:15:56,1,,ENTRY,,,4286955119,,,,,,
35,203,K05,202,3,01/10/2025 02:17:16,1,1,TNG,5.60,,2253969455,,5.60,,27.00,,
56,203,K04,204,3,01/10/2025 02:18:57,1,1,TNG,7.20,,2233912975,,7.20,,30.36,,
73,203,M06,,3,01/10/2025 02:20:40,1,,ENTRY,,,3279603733,,,,,,
117,203,K01,   ,7,01/10/2025 02:22:11,1,1,SVC,0.00,,3083490799,,0.00,,0.00,,
118,203,K01,201,7,01/10/2025 02:22:33,1,1,TNG,9.20,,1284024399,,9.20,,13.97,,
36,203,K05,204,3,01/10/2025 02:22:39,1,1,ABTC,7.20,,1815371023,,7.20,,75.80,,
67,203,M01,,3,01/10/2025 02:27:00,1,,ENTRY,,,2003216367,,,,,,
33,203,K06,204,3,01/10/2025 02:27:06,1,1,RFID,7.20,3,E28011052000778C0BF40A5A,JVQ3082,7.20,,14.46,,
38,203,M07,,3,01/10/2025 02:30:51,1,,ENTRY,,0,E20034120134FB0006C7A971,,,,,,
120,203,K01,202,7,01/10/2025 02:31:06,1,1,TNG,5.60,,4061213583,,5.60,,9.39,,
39,203,M07,,3,01/10/2025 02:31:58,1,,ENTRY,,0,E20034120131FB0006C7A8B2,,,,,,
57,203,K04,201,3,01/10/2025 02:37:49,1,1,TNG,9.20,,1050414543,,9.20,,0.07,,
68,203,M01,,3,01/10/2025 02:38:08,1,,ENTRY,,,1037389519,,,,,,
122,203,K01,204,7,01/10/2025 02:38:31,1,1,TNG,7.20,,1046411983,,7.20,,6.93,,
58,203,K04,201,3,01/10/2025 02:41:19,1,1,TNG,9.20,,2120653912,,9.20,,15.04,,
123,203,K01,204,7,01/10/2025 02:48:01,3,3,TNG,14.40,,1775060879,,14.40,,16.40,,
59,203,K04,204,3,01/10/2025 02:48:59,1,1,TNG,7.20,,3342317029,,7.20,,19.17,,
69,203,M01,,3,01/10/2025 02:52:29,1,,ENTRY,,,1051193743,,,,,,
69,203,M01,,3,01/10/2025 02:52:30,,,,0.00, ,1051193743, ,0.00,,0.00,54,TngAutorefillDisable
70,203,M01,,3,01/10/2025 02:52:57,1,,ENTRY,,,1042103567,,,,,,
71,203,M01,,3,01/10/2025 02:53:12,1,,ENTRY,,,1042398607,,,,,,
72,203,M01,,3,01/10/2025 02:53:30,1,,ENTRY,,,1058042159,,,,,,
124,203,K01,204,7,01/10/2025 02:53:38,3,3,TNG,14.40,,4067947503,,14.40,,159.02,,
73,203,M01,,3,01/10/2025 02:53:49,1,,ENTRY,,,1058914991,,,,,,
73,203,M01,,3,01/10/2025 02:53:50,,,,0.00, ,1058914991, ,0.00,,0.00,54,TngAutorefillDisable
74,203,M01,,3,01/10/2025 02:54:12,1,,ENTRY,,,1042417903,,,,,,
126,203,K01,201,7,01/10/2025 02:57:03,3,3,TNG,18.40,,1274401071,,18.40,,50.71,,
127,203,K01,201,7,01/10/2025 02:58:48,3,3,TNG,18.40,,1244115951,,18.40,,186.01,,
127,203,K01,,7,01/10/2025 02:58:49,,,,0.00, ,1244115951, ,0.00,,0.00,53,TngAutorefillEnable
128,203,K01,202,7,01/10/2025 02:59:07,1,1,TNG,5.60,,1049348591,,5.60,,54.91,,
129,203,K01,,7,01/10/2025 02:59:22,,,,0.00, ,2239722415, ,0.00,,0.00,07,  to 
131,203,K01,202,7,01/10/2025 02:59:33,3,3,TNG,11.30,,2239722415,,11.30,,8.89,,
132,203,K01,,7,01/10/2025 02:59:52,,,,0.00, ,1244270479, ,0.00,,0.00,07,  to 
133,203,K01,,7,01/10/2025 02:59:58,,,,0.00, ,1244270479, ,0.00,,0.00,07,  to 
134,203,K01,000,7,01/10/2025 03:00:02,3,3,TNG,18.40,,1244270479,,18.40,,49.78,,
1,203,K01,,8,01/10/2025 03:00:25,,,,0.00, ,          , ,0.00,,0.00,20,Standby End
1,203,K01,204,8,01/10/2025 03:00:37,3,3,TNG,14.40,,1073805071,,14.40,,98.22,,
74,203,M06,,3,01/10/2025 03:02:13,1,,ENTRY,,,2232746927,,,,,,
60,203,K04,202,3,01/10/2025 03:04:10,1,1,TNG,5.60,,2224961775,,5.60,,4.30,,
75,203,M06,,3,01/10/2025 03:08:38,1,,ENTRY,,,1815902383,,,,,,
2,203,K01,204,8,01/10/2025 03:11:50,1,1,TNG,7.20,,1894216143,,7.20,,6.99,,
61,203,K04,202,3,01/10/2025 03:13:14,1,1,TNG,5.60,,2251370831,,5.60,,0.17,,
37,203,K05,204,3,01/10/2025 03:14:13,1,1,TNG,7.20,,1341793327,,7.20,,42.79,,
34,203,K06,204,3,01/10/2025 03:15:10,1,1,RFID,7.20,3,E2801105200072D2C8940A55,VCB8882,7.20,,72.06,,
35,203,K06,   ,3,01/10/2025 03:15:27,1,1,SRID,0.00,0,E20034120131FB0006C7A8B2,,0.00,05 - No entry info,0.00,,
35,203,K06,,3,01/10/2025 03:15:28,,,,0.00, ,E200341201, ,0.00,,0.00,22,NoEntryInfo
40,203,M07,,3,01/10/2025 03:19:45,1,,ENTRY,,0,E20034120131FB0006C7A8B2,,,,,,
62,203,K04,204,3,01/10/2025 03:20:25,1,1,TNG,7.20,,1004835887,,7.20,,37.74,,
41,203,M07,,3,01/10/2025 03:23:17,1,,ENTRY,,3,E280110520007A92F92A0ACE,JXM4675,,,,,
75,203,M01,,3,01/10/2025 03:24:47,1,,ENTRY,,,2006115407,,,,,,
56,203,M04,   ,3,01/10/2025 03:27:50,1,1,SVC,0.00,,3083490799,,0.00,,0.00,,
76,203,M01,,3,01/10/2025 03:29:04,1,,ENTRY,,,1641558735,,,,,,
77,203,M01,,3,01/10/2025 03:30:57,1,,ENTRY,,,1284986191,,,,,,
38,203,K05,204,3,01/10/2025 03:33:29,1,1,TNG,7.20,,2230527919,,7.20,,10.30,,
3,203,K01,202,8,01/10/2025 03:41:49,3,3,TNG,11.30,,1654491727,,11.30,,517.54,,
4,203,K01,202,8,01/10/2025 03:42:06,3,3,TNG,11.30,,4087224847,,11.30,,205.13,,
76,203,M06,,3,01/10/2025 03:44:31,1,,ENTRY,,,1051440143,,,,,,
57,203,M04,,3,01/10/2025 03:47:59,1,,ENTRY,,,1032205167,,,,,,
77,203,M06,,3,01/10/2025 03:50:22,1,,ENTRY,,,2239225583,,,,,,
5,203,K01,201,8,01/10/2025 03:54:34,3,3,TNG,18.40,,1051602159,,18.40,,"1,247.60",,
78,203,M06,,3,01/10/2025 03:55:35,1,,ENTRY,,,1893780175,,,,,,
6,203,K01,204,8,01/10/2025 03:56:48,1,1,ABTC,7.20,,1719624399,,7.20,,82.94,,
79,203,M06,,3,01/10/2025 03:57:59,1,,ENTRY,,,1783285615,,,,,,
1,203,K01,,9,01/10/2025 04:00:10,,,,0.00, ,          , ,0.00,,0.00,20,Standby End
58,203,M04,,3,01/10/2025 04:02:46,1,,ENTRY,,,3308749765,,,,,,
59,203,M04,,3,01/10/2025 04:04:57,1,,ENTRY,,,1049839087,,,,,,
63,203,K04,202,3,01/10/2025 04:08:08,1,1,TNG,5.60,,2184343119,,5.60,,17.44,,
80,203,M06,,3,01/10/2025 04:10:48,1,,ENTRY,,,2008560463,,,,,,
78,203,M01,,3,01/10/2025 04:13:37,1,,ENTRY,,,1656449871,,,,,,
79,203,M01,,3,01/10/2025 04:15:33,1,,ENTRY,,,1065417263,,,,,,
36,203,K06,204,3,01/10/2025 04:16:00,1,1,RFID,7.20,3,E280110520007A92F92A0ACE,JXM4675,7.20,,128.10,,
80,203,M01,,3,01/10/2025 04:16:08,1,,ENTRY,,,1028168879,,,,,,
81,203,M01,,3,01/10/2025 04:16:38,1,,ENTRY,,,1058009999,,,,,,
82,203,M01,,3,01/10/2025 04:16:59,1,,ENTRY,,,1337396847,,,,,,
83,203,M01,,3,01/10/2025 04:17:19,1,,ENTRY,,,1042434447,,,,,,
82,203,M06,,3,01/10/2025 04:22:51,1,,ENTRY,,,1763418799,,,,,,
83,203,M06,,3,01/10/2025 04:23:45,1,,ENTRY,,,3363596037,,,,,,
84,203,M06,,3,01/10/2025 04:24:16,1,,ENTRY,,,2251360015,,,,,,
60,203,M04,,3,01/10/2025 04:24:50,1,,ENTRY,,,1814577711,,,,,,
1,203,K01,201,9,01/10/2025 04:25:07,3,3,TNG,18.40,,1242970991,,18.40,,84.99,,
1,203,K01,,9,01/10/2025 04:25:08,,,,0.00, ,1242970991, ,0.00,,0.00,53,TngAutorefillEnable
85,203,M06,,3,01/10/2025 04:28:46,1,,ENTRY,,,1008953103,,,,,,
42,203,M07,,3,01/10/2025 04:28:52,1,,ENTRY,,3,E280110520007546E78809ED,BQB8995,,,,,
86,203,M06,,3,01/10/2025 04:31:27,1,,ENTRY,,,1216477039,,,,,,
39,203,K05,201,3,01/10/2025 04:45:39,1,1,TNG,9.20,,1835303951,,9.20,,48.96,,
87,203,M06,,3,01/10/2025 04:48:47,1,,ENTRY,,,1086765743,,,,,,
2,203,K01,,9,01/10/2025 04:49:41,,,,0.00, ,1214610287, ,0.00,,0.00,07,  to 
3,203,K01,,9,01/10/2025 04:49:49,,,,0.00, ,1214610287, ,0.00,,0.00,07,  to 
5,203,K01,201,9,01/10/2025 04:49:59,3,3,TNG,18.40,,1214610287,,18.40,,614.11,,
84,203,M01,,3,01/10/2025 04:53:33,1,,ENTRY,,,1660941551,,,,,,
6,203,K01,202,9,01/10/2025 04:53:46,3,3,TNG,11.30,,1617258383,,11.30,,18.51,,
7,203,K01,201,9,01/10/2025 04:55:49,3,3,TNG,18.40,,1246892495,,18.40,,168.11,,
7,203,K01,,9,01/10/2025 04:55:50,,,,0.00, ,1246892495, ,0.00,,0.00,53,TngAutorefillEnable
