"Trx
 No",Plaza No (Exit),Lane No (Exit),"Entry
Plaza","Job
No","Transaction 
Date & Time",Trx,AVC,"Payment
Mode","Fare 
Amount
(RM)","Account
Type",Mfg No/Tag ID,Vehicle No,"Paid 
Amount
(RM)","Penalty
Code",Balance,Exceptional
32,202,K06,201,1,1/10/2025 6:54,1,1,RFID,4.5,3,E2003412013201000637F228,VV8813,4.5,,75.5,
33,202,K06,203,1,1/10/2025 6:54,1,1,RFID,5.6,3,E2806F1220004502423CDE36,AEQ72,5.6,,61.6,
34,202,K06,204,1,1/10/2025 6:56,1,1,RFID,9.9,3,E2801105200074DCC61C0A55,JTB5658,9.9,,157.22,
35,202,K06,201,1,1/10/2025 6:57,1,1,RFID,4.5,3,E2806F12200026023E9BFFF0,QAA861V,4.5,,75.5,
36,202,K06,201,1,1/10/2025 6:57,1,1,RFID,4.5,3,E2801105200070550F5709DB,JTR8926,4.5,,690.33,
37,202,K06,201,1,1/10/2025 6:58,1,1,RFID,4.5,3,E280110520007A53F5E10AD3,PATRIOT896,4.5,,874.32,
38,202,K06,201,1,1/10/2025 6:58,1,1,RFID,4.5,3,E280110520007353D66509ED,JPY3103,4.5,,75.5,
39,202,K06,201,1,1/10/2025 6:59,1,1,RFID,4.5,3,E28011052000779DF37E0ACE,JWD6557,4.5,,75.5,
40,202,K06,203,1,1/10/2025 6:59,1,1,RFID,5.6,3,E2806F1220000D024121601E,JUB1077,5.6,,17.43,
41,202,K06,204,1,1/10/2025 7:00,1,1,RFID,9.9,3,E2806F1220006A024132F912,WPF887,9.9,,68.45,
42,202,K06,201,1,1/10/2025 7:01,1,1,RFID,4.5,3,E28011052000765BB3CE0AD1,JUG9951,4.5,,77.84,
43,202,K06,203,1,1/10/2025 7:02,1,1,RFID,5.6,3,E280110520007AD6E9AC0ACC,JVN9161,5.6,,74.4,
44,202,K06,203,1,1/10/2025 7:03,1,1,RFID,5.6,3,E280110520007A5EE1EC0A55,SU109J,5.6,,74.4,
45,202,K06,201,1,1/10/2025 7:04,1,1,RFID,4.5,3,E280110520007141E3160A55,JUS6818,4.5,,131.75,
46,202,K06,201,1,1/10/2025 7:06,1,1,RFID,4.5,3,E28011052000798CE2520A55,JMG7597,4.5,,75.5,
47,202,K06,201,1,1/10/2025 7:07,1,1,RFID,4.5,3,E2801105200079559D700A1C,JMY639,4.5,,75.5,
48,202,K06,201,1,1/10/2025 7:08,1,1,RFID,4.5,3,E28011052000730AC9810A55,JQK5628,4.5,,75.5,
49,202,K06,203,1,1/10/2025 7:09,1,1,RFID,5.6,3,E2806F122000B002424EC0C3,JXP7571,5.6,,6.09,
50,202,K06,203,1,1/10/2025 7:10,1,1,RFID,5.6,3,E2801105200076DDCA110A55,RAG515,5.6,,4.09,
51,202,K06,201,1,1/10/2025 7:10,1,1,RFID,4.5,3,E280110520007B06E96C0ACC,JPV589,4.5,,75.5,
52,202,K06,201,1,1/10/2025 7:11,1,1,RFID,4.5,3,E2806F1220006C024121636D,DDT16,4.5,,588.57,
53,202,K06,204,1,1/10/2025 7:12,1,1,RFID,9.9,3,E2806F1220001102424E9877,JXN3735,9.9,,333.26,
54,202,K06,203,1,1/10/2025 7:13,1,1,RFID,5.6,3,E2806F1220004B023E98F326,JRQ2773,5.6,,203.59,
55,202,K06,204,1,1/10/2025 7:14,1,1,RFID,9.9,3,E2806F122000EE024130C66B,JXN3499,9.9,,413.37,
56,202,K06,201,1,1/10/2025 7:14,1,1,RFID,4.5,3,E280110520007949B8E90AD1,DEW30,4.5,,14,
57,202,K06,201,1,1/10/2025 7:14,1,1,RFID,4.5,3,E28011052000770EC6300A55,JMV7582,4.5,,"1,902.94",
58,202,K06,201,1,1/10/2025 7:16,1,1,RFID,4.5,3,E280110520007281E2160A55,JUH2019,4.5,,144.47,
59,202,K06,203,1,1/10/2025 7:16,1,1,RFID,5.6,3,E2806F12200048024137ECEC,JXC8336,5.6,,564.75,
60,202,K06,201,1,1/10/2025 7:17,1,1,RFID,4.5,3,E280110520007046C9C30A55,JRB380,4.5,,88.71,
61,202,K06,203,1,1/10/2025 7:19,1,1,RFID,5.6,3,E2806F122000D30241312270,BPR9662,5.6,,74.4,
62,202,K06,203,1,1/10/2025 7:19,1,1,RFID,5.6,3,E2806F1220006F024130B173,JXQ8585,5.6,,38.16,
63,202,K06,201,1,1/10/2025 7:21,1,1,RFID,4.5,3,E28011052000799DC9770A55,JWB8699,4.5,,757.91,
64,202,K06,201,1,1/10/2025 7:21,1,1,RFID,4.5,3,E28011052000791A8D010A1C,JQD8381,4.5,,230.36,
65,202,K06,203,1,1/10/2025 7:21,1,1,RFID,5.6,3,E28011052000738AC86B0A55,VHX711,5.6,,50.96,
66,202,K06,201,1,1/10/2025 7:22,1,1,RFID,4.5,3,E280110520007086E08A0A55,BHD8834,4.5,,75.5,
67,202,K06,203,1,1/10/2025 7:22,1,1,RFID,5.6,3,E2806F1220000C024130C2E2,JYA3845,5.6,,74.4,
68,202,K06,201,1,1/10/2025 7:22,1,1,RFID,4.5,3,E2801105200076DA19C70A56,JUW4709,4.5,,75.5,
69,202,K06,201,1,1/10/2025 7:22,1,1,RFID,4.5,3,E28011052000788DE1160A55,JVA1512,4.5,,75.5,
70,202,K06,203,1,1/10/2025 7:23,1,1,RFID,5.6,3,E2003412013320000024B7FD,JSM2649,5.6,,45.43,
71,202,K06,201,1,1/10/2025 7:23,1,1,RFID,4.5,3,E2806F122000460241207D2C,JXA2031,4.5,,57.31,
72,202,K06,204,1,1/10/2025 7:24,1,1,RFID,9.9,3,E280110520007492C8BA0A55,VBH9990,9.9,,78.9,
73,202,K06,203,1,1/10/2025 7:24,1,1,RFID,5.6,3,E2806F12200009024249B7B8,JYF3136,5.6,,74.4,
74,202,K06,204,1,1/10/2025 7:25,1,1,RFID,9.9,3,E2806F122000E50241229617,JXD2722,9.9,,70.1,
75,202,K06,203,1,1/10/2025 7:25,1,1,RFID,5.6,3,E28011052000794DE1900A55,JSV2811,5.6,,0.55,
76,202,K06,203,1,1/10/2025 7:26,1,1,RFID,5.6,3,E2806F122000C7024132BD45,JQB6517,5.6,,74.4,
77,202,K06,203,1,1/10/2025 7:27,1,1,RFID,5.6,3,E2806F1220005C0241307AB2,JXC2618,5.6,,"1,824.37",
78,202,K06,203,1,1/10/2025 7:28,1,1,RFID,5.6,3,E280110520007493F37B0ACE,JWW8275,5.6,,74.18,
79,202,K06,203,1,1/10/2025 7:28,1,1,RFID,5.6,3,E2806F1220007602412D2598,UUM3201,5.6,,94.73,
80,202,K06,201,1,1/10/2025 7:29,1,1,RFID,4.5,3,E2801105200077930BF20A5A,NDR7070,4.5,,282.93,
81,202,K06,203,1,1/10/2025 7:29,1,1,RFID,5.6,3,E2806F1220008E02424AB010,JWM178,5.6,,74.4,
82,202,K06,203,1,1/10/2025 7:29,1,1,RFID,5.6,3,E2806F122000900241514F2F,JSE4050,5.6,,74.4,
83,202,K06,203,1,1/10/2025 7:30,1,1,RFID,5.6,3,E2801105200074D2E9060ACC,BRL9288,5.6,,82.9,
84,202,K06,201,1,1/10/2025 7:31,1,1,RFID,4.5,3,E2806F12200053023E98EB07,JMR7799,4.5,,75.5,
85,202,K06,201,1,1/10/2025 7:32,1,1,RFID,4.5,3,E28011052000714CE1210A55,QM8289K,4.5,,156.69,
86,202,K06,201,1,1/10/2025 7:32,1,1,RFID,4.5,3,E280110520007ACBE91E0ACC,AMR324,4.5,,292.38,
87,202,K06,203,1,1/10/2025 7:32,1,1,RFID,5.6,3,E2806F122000C802424A734D,JRN4045,5.6,,"2,066.90",
88,202,K06,201,1,1/10/2025 7:33,1,1,RFID,4.5,3,E280110520007B09E1050A55,JNK8257,4.5,,75.5,
89,202,K06,201,1,1/10/2025 7:33,1,1,RFID,4.5,3,E2806F1220008C024137AF0E,JTW3662,4.5,,372.67,
90,202,K06,201,1,1/10/2025 7:34,1,1,RFID,4.5,3,E280110520007199F67C0AD3,JVM4659,4.5,,75.5,
91,202,K06,201,1,1/10/2025 7:34,1,1,RFID,4.5,3,E2806F12200024023E986991,CEW2588,4.5,,124.04,
92,202,K06,201,1,1/10/2025 7:34,1,1,RFID,4.5,3,E2806F1220006A02413309D9,PLJ1017,4.5,,75.5,
93,202,K06,201,1,1/10/2025 7:35,1,1,RFID,4.5,3,E20034120139200000253AA3,JRV3499,4.5,,75.5,
94,202,K06,201,1,1/10/2025 7:35,1,1,RFID,4.5,3,E280110520007701CD750A55,JUH1204,4.5,,113.11,
95,202,K06,201,1,1/10/2025 7:35,1,1,RFID,4.5,3,E28011052000708DE2A20A55,BDU118,4.5,,172.78,
96,202,K06,203,1,1/10/2025 7:35,1,1,RFID,5.6,3,E2801105200078CA8CF60A1C,WYD89,5.6,,550.81,
97,202,K06,204,1,1/10/2025 7:35,1,1,RFID,9.9,3,E2801105200072C1E1B40A55,JSE6712,9.9,,70.1,
98,202,K06,201,1,1/10/2025 7:35,1,1,RFID,4.5,3,E280110520007051C98D0A55,JVE8245,4.5,,19.34,
99,202,K06,203,1,1/10/2025 7:36,1,1,RFID,5.6,3,E280110520007481E7C70ACC,JWF4712,5.6,,85.72,
100,202,K06,201,1,1/10/2025 7:36,1,1,RFID,4.5,3,E2801105200074CD19C20A56,JSS7199,4.5,,453.78,
101,202,K06,201,1,1/10/2025 7:37,1,1,RFID,4.5,3,E2806F122000A20241470497,JQG9958,4.5,,74.19,
102,202,K06,201,1,1/10/2025 7:37,1,1,RFID,4.5,3,E280110520007853E9DA0ACC,JSJ6663,4.5,,429.09,
103,202,K06,201,1,1/10/2025 7:39,1,1,RFID,4.5,3,E2806F12200041024122A214,JQR8001,4.5,,243.58,
104,202,K06,201,1,1/10/2025 7:39,1,1,RFID,4.5,3,E280110520007A8EF9280ACE,JNT6,4.5,,89.34,
105,202,K06,201,1,1/10/2025 7:40,1,1,RFID,4.5,3,E28011052000729EF5F10AD3,W4404G,4.5,,12.18,
106,202,K06,203,1,1/10/2025 7:40,1,1,RFID,5.6,3,E28011052000719BB8E80AD1,JRE7539,5.6,,"1,392.40",
107,202,K06,203,1,1/10/2025 7:40,1,1,RFID,5.6,3,E280110520007789CAEB0A55,VDG1437,5.6,,8.8,
108,202,K06,201,1,1/10/2025 7:41,1,1,RFID,4.5,3,E2806F12200027023E988F41,JVB1975,4.5,,8.61,
109,202,K06,201,1,1/10/2025 7:41,1,1,RFID,4.5,3,E280110520007159C52C0A55,DDS5578,4.5,,215.9,
110,202,K06,203,1,1/10/2025 7:41,1,1,RFID,5.6,3,E28011052000794CE8810ACC,JWP9811,5.6,,74.4,
111,202,K06,201,1,1/10/2025 7:41,1,1,RFID,4.5,3,E2801105200078D4CCAD0A55,JSN6514,4.5,,"1,260.78",
112,202,K06,201,1,1/10/2025 7:41,1,1,RFID,4.5,3,E280110520007094B3C90AD1,JUF5976,4.5,,92.15,
113,202,K06,201,1,1/10/2025 7:42,1,1,RFID,4.5,3,E2003412013320000024A62D,JWB3286,4.5,,6.88,
114,202,K06,203,1,1/10/2025 7:42,1,1,RFID,5.6,3,E2806F1220002F024244535A,JTN5269,5.6,,"1,381.19",
115,202,K06,203,1,1/10/2025 7:42,1,1,RFID,5.6,3,E2806F12200068024245124C,JWY5397,5.6,,33.54,
116,202,K06,201,1,1/10/2025 7:42,1,1,RFID,4.5,3,E280110520007B89F6740AD3,JNP3172,4.5,,75.5,
117,202,K06,201,1,1/10/2025 7:43,1,1,RFID,4.5,3,E2806F12200056023EB0E791,JLG987,4.5,,293.45,
118,202,K06,204,1,1/10/2025 7:43,1,1,RFID,9.9,3,E280110520007103E1F30A55,JRL5458,9.9,,31.92,
119,202,K06,203,1,1/10/2025 7:43,1,1,RFID,5.6,3,E2806F122000DB023EB02B16,SJC916,5.6,,233.52,
120,202,K06,203,1,1/10/2025 7:43,1,1,RFID,5.6,3,E2801105200070D5E27C0A55,JRF8074,5.6,,175.78,
121,202,K06,201,1,1/10/2025 7:44,1,1,RFID,4.5,3,E280110520007992C6D90A55,JQS1218,4.5,,77.14,
122,202,K06,201,1,1/10/2025 7:44,1,1,RFID,4.5,3,E28011052000774CE1020A55,JUK7588,4.5,,138.87,
123,202,K06,201,1,1/10/2025 7:45,1,1,RFID,4.5,3,E2003412012A0300086FEEA1,JRK6921,4.5,,118.84,
124,202,K06,203,1,1/10/2025 7:45,1,1,RFID,5.6,3,E2806F122000CA02424EBDC8,JXU701,5.6,,168.49,
125,202,K06,201,1,1/10/2025 7:46,1,1,RFID,4.5,3,E2806F1220005B02412D1F31,JXB2997,4.5,,109.4,
126,202,K06,201,1,1/10/2025 7:46,1,1,RFID,4.5,3,E28011052000764CCCCA0A55,JNE4094,4.5,,120.46,
127,202,K06,201,1,1/10/2025 7:46,1,1,RFID,4.5,3,E280110520007251E7E10ACC,PPJ898,4.5,,76.7,
128,202,K06,204,1,1/10/2025 7:47,1,1,RFID,9.9,3,E280110520007A92FA3D0ACE,JUP6722,9.9,,70.1,
129,202,K06,201,1,1/10/2025 7:47,1,1,RFID,4.5,3,E2801105200074453F6C09A4,JJR7829,4.5,,"2,329.60",
130,202,K06,201,1,1/10/2025 7:48,1,1,RFID,4.5,3,E2806F122000CC02424E509D,QM225R,4.5,,75.5,
131,202,K06,201,1,1/10/2025 7:49,1,1,RFID,4.5,3,E280110520007755E11F0A55,JNE8853,4.5,,75.5,
132,202,K06,203,1,1/10/2025 7:49,1,1,RFID,5.6,3,E2806F12200046024223DDC7,WWV75,5.6,,74.4,
133,202,K06,203,1,1/10/2025 7:49,1,1,RFID,5.6,3,E280110520007441C8B80A55,VGS6196,5.6,,74.4,
134,202,K06,201,1,1/10/2025 7:49,1,1,RFID,4.5,3,E280110520007B5DF5EB0AD3,JSY7904,4.5,,75.5,
135,202,K06,201,1,1/10/2025 7:49,1,1,RFID,4.5,3,E280110520007759C9FF0A55,JLS9998,4.5,,235.27,
136,202,K06,201,1,1/10/2025 7:49,1,1,RFID,4.5,3,E280110520007341C8B50A55,PGU2745,4.5,,75.5,
137,202,K06,201,1,1/10/2025 7:49,1,1,RFID,4.5,3,E280110520007485C8490A55,JSR3276,4.5,,139.61,
138,202,K06,201,1,1/10/2025 7:50,1,1,RFID,4.5,3,E2806F122000680242452BE3,JRA7376,4.5,,17.53,
139,202,K06,203,1,1/10/2025 7:50,1,1,RFID,5.6,3,E280110520007853C9DB0A55,JQR1708,5.6,,74.4,
140,202,K06,201,1,1/10/2025 7:50,1,1,RFID,4.5,3,E2806F1220009502415088D5,JVR8300,4.5,,207.93,
141,202,K06,201,1,1/10/2025 7:50,1,1,RFID,4.5,3,E2806F1220008A02424FC954,ANX308,4.5,,"2,250.91",
142,202,K06,201,1,1/10/2025 7:50,1,1,RFID,4.5,3,E2806F1220008C0241312FF9,JXB2014,4.5,,75.5,
143,202,K06,201,1,1/10/2025 7:51,1,1,RFID,4.5,3,E280110520007389E76C0ACC,JQN8517,4.5,,75.5,
144,202,K06,201,1,1/10/2025 7:52,1,1,RFID,4.5,3,E2806F1220002702423AAD00,WXA3707,4.5,,92.6,
145,202,K06,201,1,1/10/2025 7:52,1,1,RFID,4.5,3,E280110520007B150BB30A5A,JQY9891,4.5,,100.64,
146,202,K06,201,1,1/10/2025 7:52,1,1,RFID,4.5,3,E280110520007A8DA3F409ED,JTH2826,4.5,,315.56,
147,202,K06,201,1,1/10/2025 7:52,1,1,RFID,4.5,3,E2806F122000C602415134E0,VPB4165,4.5,,485.61,
148,202,K06,204,1,1/10/2025 7:53,1,1,RFID,9.9,3,E28011052000779CC95C0A55,JMM1311,9.9,,11.3,
149,202,K06,204,1,1/10/2025 7:53,1,1,RFID,9.9,3,E2806F1220008B02424E5C7A,CFC7771,9.9,,70.1,
150,202,K06,203,1,1/10/2025 7:53,1,1,RFID,5.6,3,E28011052000724CCA420A55,JNL4444,5.6,,50.76,
151,202,K06,201,1,1/10/2025 7:55,1,1,RFID,4.5,3,E2806F12200089024224661E,JPC9156,4.5,,79.06,
152,202,K06,201,1,1/10/2025 7:56,1,1,RFID,4.5,3,E28011052000768CC4D80A55,JPS8369,4.5,,473.78,
153,202,K06,201,1,1/10/2025 7:56,1,1,RFID,4.5,3,E2806F1220009802412DA226,JXE1616,4.5,,124.52,
154,202,K06,201,1,1/10/2025 7:56,1,1,RFID,4.5,3,E2806F1220005E023E85EECC,JQJ9412,4.5,,"4,097.76",
155,202,K06,204,1,1/10/2025 7:56,1,1,RFID,9.9,3,E28011052000710E3F9E09A4,JRH4887,9.9,,70.1,
156,202,K06,201,1,1/10/2025 7:56,1,1,RFID,4.5,3,E2806F1220006D023EB127AE,JXA124,4.5,,96.8,
157,202,K06,204,1,1/10/2025 7:57,1,1,RFID,9.9,3,E2806F1220005E024133AF1D,UITM9974,9.9,,260.37,
158,202,K06,201,1,1/10/2025 7:57,1,1,RFID,4.5,3,E2806F1220001C0242452B9E,VQ7032,4.5,,13.92,
159,202,K06,201,1,1/10/2025 7:57,1,1,RFID,4.5,3,E2806F122000CF02424EF78D,JXT8237,4.5,,75.5,
160,202,K06,201,1,1/10/2025 7:57,1,1,RFID,4.5,3,E28011052000714EC4FF0A55,JRR8413,4.5,,75.5,
161,202,K06,203,1,1/10/2025 7:58,1,1,RFID,5.6,3,E2806F12200057023E98BEC6,VGT2011,5.6,,74.4,
162,202,K06,201,1,1/10/2025 7:58,1,1,RFID,4.5,3,E2806F1220001802425CC694,APE242,4.5,,75.5,
163,202,K06,203,1,1/10/2025 7:58,1,1,RFID,5.6,3,E2801105200076420BCA0A5A,JJW125,5.6,,271.81,
164,202,K06,201,1,1/10/2025 7:58,1,1,RFID,4.5,3,E2806F122000EC0241209E06,JSU2070,4.5,,14.45,
165,202,K06,201,1,1/10/2025 7:59,1,1,RFID,4.5,3,E2806F1220003502413139C9,JXG9228,4.5,,75.5,
166,202,K06,201,1,1/10/2025 7:59,1,1,RFID,4.5,3,E2806F1220008D024150B113,VNG1910,4.5,,4.04,
167,202,K06,204,1,1/10/2025 7:59,1,1,RFID,9.9,3,E2806F12200050024137CC65,JUB2313,9.9,,7.8,
168,202,K06,201,1,1/10/2025 7:59,1,1,RFID,4.5,3,E2806F122000C302424528BE,JSG9015,4.5,,75.5,
169,202,K06,203,1,1/10/2025 8:00,1,1,RFID,5.6,3,E2806F122000F602412229FC,BKT313,5.6,,74.4,
170,202,K06,201,1,1/10/2025 8:00,1,1,RFID,4.5,3,E280110520007119E9AD0ACC,JVC6803,4.5,,75.5,
171,202,K06,201,1,1/10/2025 8:00,1,1,RFID,4.5,3,E2806F1220003802413AAEDC,JMC2300,4.5,,75.5,
172,202,K06,201,1,1/10/2025 8:01,1,1,RFID,4.5,3,E2806F1220005002424FA0D1,JVH5044,4.5,,148.25,
173,202,K06,201,1,1/10/2025 8:03,1,1,RFID,4.5,3,E2806F1220003B024120EEA2,JTX7252,4.5,,75.5,
174,202,K06,201,1,1/10/2025 8:04,1,1,RFID,4.5,3,E28011052000738EC8BE0A55,JSP8295,4.5,,75.5,
175,202,K06,201,1,1/10/2025 8:04,1,1,RFID,4.5,3,E280110520007756FA100ACE,JWQ7766,4.5,,"6,046.57",
176,202,K06,203,1,1/10/2025 8:06,1,1,RFID,5.6,3,E2801105200072DAFA1C0ACE,JWT9057,5.6,,74.4,
177,202,K06,201,1,1/10/2025 8:07,1,1,RFID,4.5,3,E2801105200072810BCC0A5A,PQL7545,4.5,,75.5,
178,202,K06,201,1,1/10/2025 8:07,1,1,RFID,4.5,3,E2806F12200073023EB106F8,JVQ4872,4.5,,75.5,
179,202,K06,203,1,1/10/2025 8:07,1,1,RFID,5.6,3,E28011052000704DC9EF0A55,WNK8299,5.6,,74.4,
180,202,K06,203,1,1/10/2025 8:08,1,1,RFID,5.6,3,E2806F122000B7023E8588DA,JWK7367,5.6,,128.38,
181,202,K06,201,1,1/10/2025 8:08,1,1,RFID,4.5,3,E280110520007AC4F9AC0ACE,JWS7338,4.5,,"19,995.50",
182,202,K06,203,1,1/10/2025 8:08,1,1,RFID,5.6,3,E2806F122000E802412D59D9,JVY8572,5.6,,74.4,
